time_s,util_fraction
0.0,0.0
0.0,0.25
0.0,0.25
0.013333333333333334,0.0
7.0,0.25
7.0,0.25
7.013333333333334,0.0
14.0,0.25
14.0,0.25
14.013333333333334,0.0
21.0,0.25
21.0,0.25
21.013333333333332,0.0
28.0,0.25
28.0,0.25
28.013333333333332,0.0
35.0,0.25
35.0,0.25
35.013333333333335,0.0
42.0,0.25
42.0,0.25
42.013333333333335,0.0
49.0,0.25
49.0,0.25
49.013333333333335,0.0
56.0,0.25
56.0,0.25
56.013333333333335,0.0
63.0,0.25
63.0,0.25
63.013333333333335,0.0
70.0,0.25
70.0,0.25
70.01333333333334,0.0
77.0,0.25
77.0,0.25
77.01333333333334,0.0
84.0,0.25
84.0,0.25
84.01333333333334,0.0
91.0,0.25
91.0,0.25
91.01333333333334,0.0
98.0,0.25
98.0,0.25
98.01333333333334,0.0
105.0,0.25
105.0,0.25
105.01333333333334,0.0
112.0,0.25
112.0,0.25
112.01333333333334,0.0
119.0,0.25
119.0,0.25
119.01333333333334,0.0
126.0,0.25
126.0,0.25
126.01333333333334,0.0
133.0,0.25
133.0,0.25
133.01333333333332,0.0
140.0,0.25
140.0,0.25
140.01333333333332,0.0
147.0,0.25
147.0,0.25
147.01333333333332,0.0
154.0,0.25
154.0,0.25
154.01333333333332,0.0
161.0,0.25
161.0,0.25
161.01333333333332,0.0
168.0,0.25
168.0,0.25
168.01333333333332,0.0
175.0,0.25
175.0,0.25
175.01333333333332,0.0
182.0,0.25
182.0,0.25
182.01333333333332,0.0
189.0,0.25
189.0,0.25
189.01333333333332,0.0
196.0,0.25
196.0,0.25
196.01333333333332,0.0
203.0,0.25
203.0,0.25
203.01333333333332,0.0
210.0,0.25
210.0,0.25
210.01333333333332,0.0
217.0,0.25
217.0,0.25
217.01333333333332,0.0
224.0,0.25
224.0,0.25
224.01333333333332,0.0
231.0,0.25
231.0,0.25
231.01333333333332,0.0
238.0,0.25
238.0,0.25
238.01333333333332,0.0
245.0,0.25
245.0,0.25
245.01333333333332,0.0
252.0,0.25
252.0,0.25
252.01333333333332,0.0
259.0,0.25
259.0,0.25
259.0133333333333,0.0
266.0,0.25
266.0,0.25
266.0133333333333,0.0
273.0,0.25
273.0,0.25
273.0133333333333,0.0
280.0,0.25
280.0,0.25
280.0133333333333,0.0
287.0,0.25
287.0,0.25
287.0133333333333,0.0
300.0,0.0
