time_s,util_fraction
0.0,0.0
0.0,0.25
0.0,0.25
0.013333333333333334,0.0
0.013333333333333334,0.25
0.013333333333333334,0.25
0.48,0.0
0.48,0.25
0.48,0.25
0.9466666666666667,0.0
0.9466666666666667,0.25
0.9466666666666667,0.25
0.96,0.0
7.0,0.25
7.0,0.25
7.013333333333334,0.0
7.013333333333334,0.25
7.013333333333334,0.25
7.48,0.0
7.48,0.25
7.48,0.25
7.946666666666667,0.0
7.946666666666667,0.25
7.946666666666667,0.25
7.960000000000001,0.0
14.0,0.25
14.0,0.25
14.013333333333334,0.0
14.013333333333334,0.25
14.013333333333334,0.25
14.48,0.0
14.48,0.25
14.48,0.25
14.946666666666667,0.0
14.946666666666667,0.25
14.946666666666667,0.25
14.96,0.0
21.0,0.25
21.0,0.25
21.013333333333332,0.0
21.013333333333332,0.25
21.013333333333332,0.25
21.479999999999997,0.0
21.479999999999997,0.25
21.479999999999997,0.25
21.946666666666662,0.0
21.946666666666662,0.25
21.946666666666662,0.25
21.959999999999994,0.0
28.0,0.25
28.0,0.25
28.013333333333332,0.0
28.013333333333332,0.25
28.013333333333332,0.25
28.479999999999997,0.0
28.479999999999997,0.25
28.479999999999997,0.25
28.946666666666662,0.0
28.946666666666662,0.25
28.946666666666662,0.25
28.959999999999994,0.0
35.0,0.25
35.0,0.25
35.013333333333335,0.0
35.013333333333335,0.25
35.013333333333335,0.25
35.480000000000004,0.0
35.480000000000004,0.25
35.480000000000004,0.25
35.94666666666667,0.0
35.94666666666667,0.25
35.94666666666667,0.25
35.96000000000001,0.0
42.0,0.25
42.0,0.25
42.013333333333335,0.0
42.013333333333335,0.25
42.013333333333335,0.25
42.480000000000004,0.0
42.480000000000004,0.25
42.480000000000004,0.25
42.94666666666667,0.0
42.94666666666667,0.25
42.94666666666667,0.25
42.96000000000001,0.0
49.0,0.25
49.0,0.25
49.013333333333335,0.0
49.013333333333335,0.25
49.013333333333335,0.25
49.480000000000004,0.0
49.480000000000004,0.25
49.480000000000004,0.25
49.94666666666667,0.0
49.94666666666667,0.25
49.94666666666667,0.25
49.96000000000001,0.0
56.0,0.25
56.0,0.25
56.013333333333335,0.0
56.013333333333335,0.25
56.013333333333335,0.25
56.480000000000004,0.0
56.480000000000004,0.25
56.480000000000004,0.25
56.94666666666667,0.0
56.94666666666667,0.25
56.94666666666667,0.25
56.96000000000001,0.0
63.0,0.25
63.0,0.25
63.013333333333335,0.0
63.013333333333335,0.25
63.013333333333335,0.25
63.480000000000004,0.0
63.480000000000004,0.25
63.480000000000004,0.25
63.94666666666667,0.0
63.94666666666667,0.25
63.94666666666667,0.25
63.96000000000001,0.0
70.0,0.25
70.0,0.25
70.01333333333334,0.0
70.01333333333334,0.25
70.01333333333334,0.25
70.48,0.0
70.48,0.25
70.48,0.25
70.94666666666667,0.0
70.94666666666667,0.25
70.94666666666667,0.25
70.96000000000001,0.0
77.0,0.25
77.0,0.25
77.01333333333334,0.0
77.01333333333334,0.25
77.01333333333334,0.25
77.48,0.0
77.48,0.25
77.48,0.25
77.94666666666667,0.0
77.94666666666667,0.25
77.94666666666667,0.25
77.96000000000001,0.0
84.0,0.25
84.0,0.25
84.01333333333334,0.0
84.01333333333334,0.25
84.01333333333334,0.25
84.48,0.0
84.48,0.25
84.48,0.25
84.94666666666667,0.0
84.94666666666667,0.25
84.94666666666667,0.25
84.96000000000001,0.0
91.0,0.25
91.0,0.25
91.01333333333334,0.0
91.01333333333334,0.25
91.01333333333334,0.25
91.48,0.0
91.48,0.25
91.48,0.25
91.94666666666667,0.0
91.94666666666667,0.25
91.94666666666667,0.25
91.96000000000001,0.0
98.0,0.25
98.0,0.25
98.01333333333334,0.0
98.01333333333334,0.25
98.01333333333334,0.25
98.48,0.0
98.48,0.25
98.48,0.25
98.94666666666667,0.0
98.94666666666667,0.25
98.94666666666667,0.25
98.96000000000001,0.0
105.0,0.25
105.0,0.25
105.01333333333334,0.0
105.01333333333334,0.25
105.01333333333334,0.25
105.48,0.0
105.48,0.25
105.48,0.25
105.94666666666667,0.0
105.94666666666667,0.25
105.94666666666667,0.25
105.96000000000001,0.0
112.0,0.25
112.0,0.25
112.01333333333334,0.0
112.01333333333334,0.25
112.01333333333334,0.25
112.48,0.0
112.48,0.25
112.48,0.25
112.94666666666667,0.0
112.94666666666667,0.25
112.94666666666667,0.25
112.96000000000001,0.0
119.0,0.25
119.0,0.25
119.01333333333334,0.0
119.01333333333334,0.25
119.01333333333334,0.25
119.48,0.0
119.48,0.25
119.48,0.25
119.94666666666667,0.0
119.94666666666667,0.25
119.94666666666667,0.25
119.96000000000001,0.0
126.0,0.25
126.0,0.25
126.01333333333334,0.0
126.01333333333334,0.25
126.01333333333334,0.25
126.48,0.0
126.48,0.25
126.48,0.25
126.94666666666667,0.0
126.94666666666667,0.25
126.94666666666667,0.25
126.96000000000001,0.0
133.0,0.25
133.0,0.25
133.01333333333332,0.0
133.01333333333332,0.25
133.01333333333332,0.25
133.48,0.0
133.48,0.25
133.48,0.25
133.94666666666666,0.0
133.94666666666666,0.25
133.94666666666666,0.25
133.95999999999998,0.0
140.0,0.25
140.0,0.25
140.01333333333332,0.0
140.01333333333332,0.25
140.01333333333332,0.25
140.48,0.0
140.48,0.25
140.48,0.25
140.94666666666666,0.0
140.94666666666666,0.25
140.94666666666666,0.25
140.95999999999998,0.0
147.0,0.25
147.0,0.25
147.01333333333332,0.0
147.01333333333332,0.25
147.01333333333332,0.25
147.48,0.0
147.48,0.25
147.48,0.25
147.94666666666666,0.0
147.94666666666666,0.25
147.94666666666666,0.25
147.95999999999998,0.0
154.0,0.25
154.0,0.25
154.01333333333332,0.0
154.01333333333332,0.25
154.01333333333332,0.25
154.48,0.0
154.48,0.25
154.48,0.25
154.94666666666666,0.0
154.94666666666666,0.25
154.94666666666666,0.25
154.95999999999998,0.0
161.0,0.25
161.0,0.25
161.01333333333332,0.0
161.01333333333332,0.25
161.01333333333332,0.25
161.48,0.0
161.48,0.25
161.48,0.25
161.94666666666666,0.0
161.94666666666666,0.25
161.94666666666666,0.25
161.95999999999998,0.0
168.0,0.25
168.0,0.25
168.01333333333332,0.0
168.01333333333332,0.25
168.01333333333332,0.25
168.48,0.0
168.48,0.25
168.48,0.25
168.94666666666666,0.0
168.94666666666666,0.25
168.94666666666666,0.25
168.95999999999998,0.0
175.0,0.25
175.0,0.25
175.01333333333332,0.0
175.01333333333332,0.25
175.01333333333332,0.25
175.48,0.0
175.48,0.25
175.48,0.25
175.94666666666666,0.0
175.94666666666666,0.25
175.94666666666666,0.25
