time_s,energy_joules
0.0,0.0
0.0,0.0
0.0,1.11
0.013333333333333334,1.11
0.013333333333333334,1.11
0.013333333333333334,39.96
0.48,39.96
0.48,39.96
0.48,78.81
0.9466666666666667,78.81
0.9466666666666667,78.81
0.9466666666666667,79.92
0.96,79.92
7.0,575.2
7.0,576.3100000000001
7.013333333333334,576.3100000000001
7.013333333333334,576.3100000000001
7.013333333333334,615.1600000000001
7.48,615.1600000000001
7.48,615.1600000000001
7.48,654.0100000000001
7.946666666666667,654.0100000000001
7.946666666666667,654.0100000000001
7.946666666666667,655.1200000000001
7.960000000000001,655.1200000000001
14.0,1150.4
14.0,1151.51
14.013333333333334,1151.51
14.013333333333334,1151.51
14.013333333333334,1190.36
14.48,1190.36
14.48,1190.36
14.48,1229.2099999999998
14.946666666666667,1229.2099999999998
14.946666666666667,1229.2099999999998
14.946666666666667,1230.3199999999997
14.96,1230.3199999999997
21.0,1725.5999999999997
21.0,1726.7099999999996
21.013333333333332,1726.7099999999996
21.013333333333332,1726.7099999999996
21.013333333333332,1765.5599999999995
21.479999999999997,1765.5599999999995
21.479999999999997,1765.5599999999995
21.479999999999997,1804.4099999999994
21.946666666666662,1804.4099999999994
21.946666666666662,1804.4099999999994
21.946666666666662,1805.5199999999993
21.959999999999994,1805.5199999999993
28.0,2300.7999999999997
28.0,2301.91
28.013333333333332,2301.91
28.013333333333332,2301.91
28.013333333333332,2340.7599999999998
28.479999999999997,2340.7599999999998
28.479999999999997,2340.7599999999998
28.479999999999997,2379.6099999999997
28.946666666666662,2379.6099999999997
28.946666666666662,2379.6099999999997
28.946666666666662,2380.72
28.959999999999994,2380.72
35.0,2876.0000000000005
35.0,2877.1100000000006
35.013333333333335,2877.1100000000006
35.013333333333335,2877.1100000000006
35.013333333333335,2915.9600000000005
35.480000000000004,2915.9600000000005
35.480000000000004,2915.9600000000005
35.480000000000004,2954.8100000000004
35.94666666666667,2954.8100000000004
35.94666666666667,2954.8100000000004
35.94666666666667,2955.9200000000005
35.96000000000001,2955.9200000000005
42.0,3451.2
42.0,3452.31
42.013333333333335,3452.31
42.013333333333335,3452.31
42.013333333333335,3491.16
42.480000000000004,3491.16
42.480000000000004,3491.16
42.480000000000004,3530.0099999999998
42.94666666666667,3530.0099999999998
42.94666666666667,3530.0099999999998
42.94666666666667,3531.12
42.96000000000001,3531.12
49.0,4026.399999999999
49.0,4027.5099999999993
