tuple_id,latency_ms
0,1996.4307142857142
1,2003.2878571428569
2,2010.1449999999995
3,2017.0021428571422
4,1996.430714285717
5,2003.28785714286
6,2010.1450000000032
7,2017.0021428571463
8,1996.4307142857188
9,2003.2878571428619
10,2010.145000000005
11,2017.002142857148
12,1996.430714285701
13,2003.2878571428441
14,2010.1449999999872
15,2017.0021428571304
16,1996.430714285701
17,2003.2878571428441
18,2010.1449999999872
19,2017.0021428571304
20,1996.4307142857365
21,2003.2878571428796
22,2010.1450000000227
23,2017.0021428571658
24,1996.4307142857365
25,2003.2878571428796
26,2010.1450000000227
27,2017.0021428571658
28,1996.4307142857365
29,2003.2878571428796
30,2010.1450000000227
31,2017.0021428571658
32,1996.4307142857365
33,2003.2878571428796
34,2010.1450000000227
35,2017.0021428571658
36,1996.430714285708
37,2003.2878571428512
38,2010.1449999999943
39,2017.0021428571374
40,1996.4307142856655
41,2003.2878571428087
42,2010.1449999999518
43,2017.002142857095
44,1996.4307142856655
45,2003.2878571428087
46,2010.1449999999518
47,2017.002142857095
48,1996.4307142856655
49,2003.2878571428087
50,2010.1449999999518
51,2017.002142857095
52,1996.4307142856655
53,2003.2878571428087
54,2010.1449999999518
55,2017.002142857095
56,1996.4307142856655
57,2003.2878571428087
58,2010.1449999999518
59,2017.002142857095
60,1996.4307142856655
61,2003.2878571428087
62,2010.1449999999518
63,2017.002142857095
64,1996.4307142856655
65,2003.2878571428087
66,2010.1449999999518
67,2017.002142857095
68,1996.4307142856655
69,2003.2878571428087
70,2010.1449999999518
71,2017.002142857095
72,1996.4307142856655
73,2003.2878571427943
74,2010.1449999999375
75,2017.0021428570806
76,1996.4307142857933
77,2003.2878571429364
78,2010.1450000000796
79,2017.0021428572227
80,1996.4307142857933
81,2003.2878571429364
82,2010.1450000000796
83,2017.0021428572227
84,1996.4307142857933
85,2003.2878571429364
86,2010.1450000000796
87,2017.0021428572227
88,1996.4307142857933
89,2003.2878571429364
90,2010.1450000000796
91,2017.0021428572227
92,1996.4307142857933
93,2003.2878571429364
94,2010.1450000000796
95,2017.0021428572227
96,1996.4307142857933
97,2003.2878571429364
98,2010.1450000000796
99,2017.0021428572227
100,1996.4307142857933
101,2003.2878571429364
102,2010.1450000000796
103,2017.0021428572227
104,1996.4307142857933
105,2003.2878571429364
106,2010.1450000000796
107,2017.0021428572227
108,1996.4307142857933
109,2003.2878571429364
110,2010.1450000000796
111,2017.0021428572227
112,1996.4307142857933
113,2003.2878571429364
114,2010.1450000000796
115,2017.0021428572227
116,1996.4307142857933
117,2003.2878571429364
118,2010.1450000000796
119,2017.0021428572227
120,1996.4307142857933
121,2003.2878571429364
122,2010.1450000000796
123,2017.0021428572227
124,1996.4307142857933
125,2003.2878571429364
126,2010.1450000000796
127,2017.0021428572227
128,1996.4307142857933
129,2003.2878571429364
130,2010.1450000000796
131,2017.0021428572227
132,1996.4307142857933
133,2003.2878571429364
134,2010.1450000000796
135,2017.0021428572227
136,1996.4307142857933
137,2003.2878571429364
138,2010.1450000000796
139,2017.0021428572227
140,1996.4307142857933
141,2003.2878571429364
142,2010.1450000000796
143,2017.0021428572227
144,1996.4307142857933
145,2003.2878571429364
146,2010.1450000000796
147,2017.0021428572227
148,1996.4307142857933
149,2003.2878571429364
150,2010.1450000000796
151,2017.0021428572227
152,1996.4307142857933
153,2003.2878571429364
154,2010.1450000000796
155,2017.0021428572227
156,1996.4307142857933
157,2003.2878571429364
158,2010.1450000000796
159,2017.0021428572227
160,1996.4307142857933
161,2003.2878571429364
162,2010.1450000000796
163,2017.0021428572227
164,1996.4307142857933
165,2003.2878571429364
166,2010.1450000000796
167,2017.0021428572227
