tuple_id,latency_ms
0,564.8354761904762
1,827.3354761904764
2,1089.8354761904766
3,1352.3354761904761
4,564.8354761904768
5,827.335476190477
6,1089.8354761904764
7,1352.3354761904773
8,564.8354761904777
9,827.335476190477
10,1089.8354761904764
11,1352.3354761904757
12,564.8354761904706
13,827.3354761904699
14,1089.835476190469
15,1352.3354761904684
16,564.8354761904706
17,827.3354761904699
18,1089.835476190469
19,1352.3354761904684
20,564.8354761904884
21,827.3354761904911
22,1089.835476190494
23,1352.3354761904968
24,564.8354761904884
25,827.3354761904911
26,1089.835476190494
27,1352.3354761904968
28,564.8354761904884
29,827.3354761904911
30,1089.835476190494
31,1352.3354761904968
32,564.8354761904884
33,827.3354761904911
34,1089.835476190494
35,1352.3354761904968
36,564.8354761904884
37,827.3354761904911
38,1089.835476190487
39,1352.3354761904898
40,564.835476190467
41,827.3354761904699
42,1089.8354761904727
43,1352.3354761904757
44,564.835476190467
45,827.3354761904699
46,1089.8354761904727
47,1352.3354761904757
48,564.835476190467
49,827.3354761904699
50,1089.8354761904727
51,1352.3354761904757
52,564.835476190467
53,827.3354761904699
54,1089.8354761904727
55,1352.3354761904757
56,564.835476190467
57,827.3354761904699
58,1089.8354761904727
59,1352.3354761904757
60,564.835476190467
61,827.3354761904699
62,1089.8354761904727
63,1352.3354761904757
64,564.835476190467
65,827.3354761904699
66,1089.8354761904727
67,1352.3354761904757
68,564.835476190467
69,827.3354761904699
70,1089.8354761904727
71,1352.3354761904757
72,564.835476190467
73,827.3354761904699
74,1089.8354761904727
75,1352.3354761904757
76,564.835476190467
77,827.3354761904557
78,1089.8354761904443
79,1352.335476190433
80,564.835476190467
81,827.3354761904557
82,1089.8354761904443
83,1352.335476190433
84,564.835476190467
85,827.3354761904557
86,1089.8354761904443
87,1352.335476190433
88,564.835476190467
89,827.3354761904557
90,1089.8354761904443
91,1352.335476190433
92,564.835476190467
93,827.3354761904557
94,1089.8354761904443
95,1352.335476190433
96,564.835476190467
97,827.3354761904557
98,1089.8354761904443
99,1352.335476190433
100,564.835476190467
101,827.3354761904557
102,1089.8354761904443
103,1352.335476190433
104,564.835476190467
105,827.3354761904557
106,1089.8354761904443
107,1352.335476190433
108,564.835476190467
109,827.3354761904557
110,1089.8354761904443
111,1352.335476190433
112,564.835476190467
113,827.3354761904557
114,1089.8354761904443
115,1352.335476190433
116,564.835476190467
117,827.3354761904557
118,1089.8354761904443
119,1352.335476190433
120,564.835476190467
121,827.3354761904557
122,1089.8354761904443
123,1352.335476190433
124,564.835476190467
125,827.3354761904557
126,1089.8354761904443
127,1352.335476190433
128,564.835476190467
129,827.3354761904557
130,1089.8354761904443
131,1352.335476190433
132,564.835476190467
133,827.3354761904557
134,1089.8354761904443
135,1352.335476190433
136,564.835476190467
137,827.3354761904557
138,1089.8354761904443
139,1352.335476190433
140,564.835476190467
141,827.3354761904557
142,1089.8354761904443
143,1352.335476190433
144,564.835476190467
145,827.3354761904557
146,1089.8354761904443
147,1352.335476190433
148,564.835476190467
149,827.3354761904557
150,1089.8354761904443
151,1352.335476190433
152,564.835476190467
153,827.3354761904557
154,1089.8354761904443
155,1352.335476190433
156,564.835476190467
157,827.3354761904557
158,1089.8354761904443
159,1352.335476190433
160,564.835476190467
161,827.3354761904557
162,1089.8354761904443
163,1352.335476190433
164,564.835476190467
165,827.3354761904557
166,1089.8354761904443
167,1352.335476190433
