time_s,energy_joules
0.0,0.0
0.0,0.0
0.0,1.11
0.013333333333333334,1.11
7.0,574.0166666666667
7.0,575.1266666666667
7.013333333333334,575.1266666666667
14.0,1148.0333333333333
14.0,1149.1433333333332
14.013333333333334,1149.1433333333332
21.0,1722.0499999999997
21.0,1723.1599999999996
21.013333333333332,1723.1599999999996
28.0,2296.0666666666666
28.0,2297.1766666666667
28.013333333333332,2297.1766666666667
35.0,2870.0833333333335
35.0,2871.1933333333336
35.013333333333335,2871.1933333333336
42.0,3444.1000000000004
42.0,3445.2100000000005
42.013333333333335,3445.2100000000005
49.0,4018.116666666667
49.0,4019.226666666667
49.013333333333335,4019.226666666667
56.0,4592.133333333333
56.0,4593.243333333333
56.013333333333335,4593.243333333333
63.0,5166.15
63.0,5167.259999999999
63.013333333333335,5167.259999999999
70.0,5740.166666666666
70.0,5741.276666666666
70.01333333333334,5741.276666666666
77.0,6314.1833333333325
77.0,6315.293333333332
77.01333333333334,6315.293333333332
84.0,6888.199999999999
84.0,6889.309999999999
84.01333333333334,6889.309999999999
91.0,7462.216666666665
91.0,7463.326666666665
91.01333333333334,7463.326666666665
98.0,8036.233333333332
98.0,8037.343333333331
98.01333333333334,8037.343333333331
105.0,8610.249999999998
105.0,8611.359999999999
105.01333333333334,8611.359999999999
112.0,9184.266666666665
112.0,9185.376666666665
112.01333333333334,9185.376666666665
119.0,9758.283333333331
119.0,9759.393333333332
119.01333333333334,9759.393333333332
126.0,10332.299999999997
126.0,10333.409999999998
126.01333333333334,10333.409999999998
133.0,10906.316666666664
133.0,10907.426666666664
133.01333333333332,10907.426666666664
140.0,11480.333333333332
140.0,11481.443333333333
140.01333333333332,11481.443333333333
147.0,12054.35
147.0,12055.460000000001
147.01333333333332,12055.460000000001
154.0,12628.366666666669
154.0,12629.47666666667
154.01333333333332,12629.47666666667
161.0,13202.383333333337
161.0,13203.493333333337
161.01333333333332,13203.493333333337
168.0,13776.400000000005
168.0,13777.510000000006
168.01333333333332,13777.510000000006
175.0,14350.416666666673
175.0,14351.526666666674
175.01333333333332,14351.526666666674
182.0,14924.433333333342
182.0,14925.543333333342
182.01333333333332,14925.543333333342
189.0,15498.45000000001
189.0,15499.56000000001
189.01333333333332,15499.56000000001
196.0,16072.466666666678
196.0,16073.576666666679
196.01333333333332,16073.576666666679
203.0,16646.483333333344
203.0,16647.593333333345
203.01333333333332,16647.593333333345
210.0,17220.500000000015
210.0,17221.610000000015
210.01333333333332,17221.610000000015
217.0,17794.516666666685
217.0,17795.626666666685
217.01333333333332,17795.626666666685
224.0,18368.533333333355
224.0,18369.643333333355
224.01333333333332,18369.643333333355
231.0,18942.550000000025
231.0,18943.660000000025
231.01333333333332,18943.660000000025
238.0,19516.566666666695
238.0,19517.676666666695
238.01333333333332,19517.676666666695
245.0,20090.583333333365
245.0,20091.693333333365
245.01333333333332,20091.693333333365
252.0,20664.600000000035
252.0,20665.710000000036
252.01333333333332,20665.710000000036
259.0,21238.616666666705
259.0,21239.726666666706
259.0133333333333,21239.726666666706
266.0,21812.633333333375
266.0,21813.743333333376
266.0133333333333,21813.743333333376
273.0,22386.650000000045
273.0,22387.760000000046
273.0133333333333,22387.760000000046
280.0,22960.666666666715
280.0,22961.776666666716
280.0133333333333,22961.776666666716
287.0,23534.683333333385
287.0,23535.793333333386
287.0133333333333,23535.793333333386
300.0,24600.700000000055
